DATE,HOUS448PCPI
1969-01-01,3877
1970-01-01,4240
1971-01-01,4513
1972-01-01,4881
1973-01-01,5371
1974-01-01,6183
1975-01-01,7014
1976-01-01,7717
1977-01-01,8477
1978-01-01,9622
1979-01-01,10800
1980-01-01,12087
1981-01-01,13770
1982-01-01,14426
1983-01-01,14316
1984-01-01,15161
1985-01-01,15917
1986-01-01,15702
1987-01-01,16055
1988-01-01,17414
1989-01-01,18694
1990-01-01,20076
1991-01-01,20658
1992-01-01,21787
1993-01-01,22367
1994-01-01,22903
1995-01-01,24235
1996-01-01,25850
1997-01-01,28045
1998-01-01,30105
1999-01-01,30911
2000-01-01,33254
2001-01-01,34501
2002-01-01,33518
2003-01-01,34265
2004-01-01,36151
2005-01-01,38727
2006-01-01,41834
2007-01-01,43812
2008-01-01,47913
2009-01-01,43946
2010-01-01,45627
2011-01-01,48677
2012-01-01,52301
2013-01-01,52033
2014-01-01,54699
2015-01-01,54210
2016-01-01,50841
2017-01-01,54000
2018-01-01,57086
2019-01-01,58902
2020-01-01,59431
2021-01-01,65196
2022-01-01,68808
2023-01-01,72453
